	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A50
A11	0.572781278	0.586318632	0.540918092	0.482640264	0.568544854	0.547794779	0.628274827	0.202052205	0.162064206	0.160144014	0	0.173885389	0.217449745	0.152355236	0.505778578	0.498241824	0.500810081	0.516627663	0.526612661	0.866966697	0.872583258	0.912667267	0.821854185	0.82910291	0.908790879	0.785970597	0.912727273	0.872463246	0.959663966	0.937449745	0.966060606	0.932061206	0.963276328	0.910339034	0.919375938	0.997767777	0.943738374	0.961368137	0.914611461	0.971125113	0.934173417	0.998559856	0.957635764	0.990459046	0.951587159	0.987482748	0.952283228	0.977917792	0.966456646	0.921272127
A12	0.518031803	0.50760276	0.489192919	0.459885989	0.52440444	0.475991599	0.577353735	0.216057606	0.183486349	0.172889289	0.173885389	0	0.191539154	0.205688569	0.472091209	0.511959196	0.432883288	0.492913291	0.448748875	0.841224122	0.849852985	0.851629163	0.828130813	0.798043804	0.862766277	0.752751275	0.879771977	0.855877588	0.924956496	0.937665767	0.977221722	0.959615962	0.98529853	0.89230123	0.953351335	0.99909991	0.982334233	0.91450345	0.924128413	0.977749775	0.944746475	0.973525353	0.991011101	0.974173417	0.942394239	0.986318632	0.987758776	0.988310831	0.971017102	0.904638464
A13	0.540534053	0.56390039	0.517971797	0.469666967	0.557563756	0.517215722	0.58319832	0.212217222	0.217473747	0.23609961	0.217449745	0.191539154	0	0.207392739	0.544122412	0.599375938	0.523528353	0.513819382	0.552163216	0.848520852	0.87169517	0.909186919	0.856417642	0.954131413	0.905334533	0.847728773	0.960672067	0.896993699	0.924608461	0.900486049	0.976717672	0.977881788	0.986078608	0.929336934	0.981062106	0.981446145	0.955091509	0.908358836	0.909618962	0.966456646	0.953483348	0.992427243	0.973789379	0.986834683	0.978049805	0.986594659	0.997563756	0.993819382	0.943030303	0.921776178
A14	0.49419742	0.524980498	0.495709571	0.454605461	0.567944794	0.501482148	0.562376238	0.172781278	0.214761476	0.195775578	0.152355236	0.205688569	0.207392739	0	0.542442244	0.548358836	0.505634563	0.56350435	0.544470447	0.850513051	0.912115212	0.882448245	0.864938494	0.87660366	0.949882988	0.825526553	0.902694269	0.900438044	0.991659166	0.965652565	0.929084908	0.993975398	0.970045005	0.924884488	0.91889589	0.933045305	0.925124512	0.967176718	0.916747675	0.990951095	0.971485149	0.956243624	0.91840384	0.980726073	0.943678368	0.950291029	0.986270627	0.961980198	0.899429943	0.885616562
A15	0.880660066	0.795511551	0.859657966	0.844656466	0.955787579	0.880528053	0.93419742	0.525688569	0.505418542	0.558871887	0.505778578	0.472091209	0.544122412	0.542442244	0	0.268406841	0.211137114	0.200852085	0.260474047	0.552379238	0.552931293	0.586738674	0.583342334	0.531353135	0.52780078	0.471683168	0.523636364	0.577077708	0.922340234	0.912679268	0.924968497	0.892985299	0.946714671	0.954575458	0.964536454	0.961140114	0.890549055	0.912847285	0.91750375	0.930453045	0.981218122	0.986462646	0.998655866	0.971077108	0.922820282	0.965556556	0.903762376	0.979861986	0.972037204	0.946570657
A16	0.899093909	0.872859286	0.871551155	0.884272427	0.958331833	0.915031503	0.941674167	0.54670267	0.525076508	0.566408641	0.498241824	0.511959196	0.599375938	0.548358836	0.268406841	0	0.276855686	0.293369337	0.277791779	0.603744374	0.598931893	0.658409841	0.633015302	0.524668467	0.568412841	0.525664566	0.59469547	0.592715272	0.926660666	0.988274827	0.980966097	0.988070807	0.949654965	0.942262226	0.951011101	0.990711071	0.947818782	0.994419442	0.977917792	0.961812181	0.994011401	0.998415842	0.989822982	0.95009901	0.962472247	0.977149715	0.885736574	0.937713771	0.980258026	0.96279628
A17	0.90520252	0.818781878	0.862046205	0.872511251	0.951707171	0.882016202	0.917059706	0.540582058	0.480552055	0.514407441	0.500810081	0.432883288	0.523528353	0.505634563	0.211137114	0.276855686	0	0.152787279	0.169420942	0.59120312	0.597923792	0.629126913	0.58469847	0.52309631	0.591935194	0.501638164	0.603936394	0.619693969	0.973177318	0.914467447	0.964332433	0.998247825	0.963264326	0.980654065	0.959327933	0.96660066	0.916291629	0.924872487	0.947446745	0.978277828	0.989582958	0.968892889	0.93860186	0.936993699	0.97809781	0.973645365	0.952583258	0.99630363	0.973537354	0.959255926
A18	0.945970597	0.805664566	0.890225023	0.900090009	0.956123612	0.931725173	0.92330033	0.590279028	0.521668167	0.550027003	0.516627663	0.492913291	0.513819382	0.56350435	0.200852085	0.293369337	0.152787279	0	0.221314131	0.562964296	0.562208221	0.576093609	0.546078608	0.475679568	0.505346535	0.480264026	0.537161716	0.561068107	0.998415842	0.945070507	0.978337834	0.991551155	0.978769877	0.990219022	0.990711071	0.966384638	0.947554755	0.95990399	0.976705671	0.945214521	0.982670267	0.985418542	0.987158716	0.898169817	0.980906091	0.936153615	0.94529853	0.999051905	0.990291029	0.929816982
A19	0.920228023	0.863450345	0.87270327	0.92540054	0.987038704	0.94679868	0.973537354	0.575877588	0.518031803	0.553183318	0.526612661	0.448748875	0.552163216	0.544470447	0.260474047	0.277791779	0.169420942	0.221314131	0	0.63549955	0.644740474	0.652073207	0.640792079	0.585046505	0.59720372	0.494461446	0.625946595	0.650561056	0.998739874	0.957107711	0.998175818	0.98049805	0.957839784	0.958451845	0.948190819	0.938217822	0.989090909	0.97929793	0.997923792	0.920228023	0.946738674	0.946810681	0.906918692	0.96759676	0.983270327	0.993231323	0.964164416	0.959531953	0.939381938	0.9819982
A20	0.940894089	0.914467447	0.953651365	0.986138614	0.998031803	0.998535854	0.985622562	0.872427243	0.817221722	0.83939994	0.866966697	0.841224122	0.848520852	0.850513051	0.552379238	0.603744374	0.59120312	0.562964296	0.63549955	0	0.194743474	0.231851185	0.191335134	0.21749775	0.210705071	0.223882388	0.176705671	0.160552055	0.594275428	0.571125113	0.566540654	0.588154815	0.991863186	0.951155116	0.944818482	0.9239964	0.981014101	0.942346235	0.892781278	0.971761176	0.774653465	0.792883288	0.821170117	0.879927993	0.847392739	0.842460246	0.917023702	0.851845185	0.81059706	0.876135614
A21	0.940522052	0.995919592	0.98520252	0.954179418	0.967764776	0.909162916	0.963780378	0.877647765	0.802856286	0.895625563	0.872583258	0.849852985	0.87169517	0.912115212	0.552931293	0.598931893	0.597923792	0.562208221	0.644740474	0.194743474	0	0.213813381	0.203492349	0.240360036	0.201044104	0.210633063	0.201212121	0.18919892	0.581482148	0.547662766	0.547026703	0.559279928	0.964272427	0.915607561	0.940930093	0.916891689	0.989978998	0.996735674	0.877971797	0.948082808	0.76360036	0.820678068	0.763936394	0.890009001	0.846228623	0.792019202	0.916363636	0.838427843	0.757839784	0.853621362
A22	0.931377138	0.987278728	0.962940294	0.867494749	0.892853285	0.861686169	0.913183318	0.945274527	0.825142514	0.893909391	0.912667267	0.851629163	0.909186919	0.882448245	0.586738674	0.658409841	0.629126913	0.576093609	0.652073207	0.231851185	0.213813381	0	0.255517552	0.231251125	0.226450645	0.239939994	0.184362436	0.20950495	0.626330633	0.622058206	0.586450645	0.611089109	0.94439844	0.915715572	0.994191419	0.909666967	0.919411941	0.955091509	0.871023102	0.906618662	0.725256526	0.775193519	0.746138614	0.843720372	0.794311431	0.789666967	0.879891989	0.829486949	0.744758476	0.840288029
A23	0.980690069	0.928028803	0.95459946	0.981578158	0.954983498	0.996231623	0.965280528	0.879687969	0.775721572	0.808544854	0.821854185	0.828130813	0.856417642	0.864938494	0.583342334	0.633015302	0.58469847	0.546078608	0.640792079	0.191335134	0.203492349	0.255517552	0	0.227662766	0.230939094	0.204512451	0.20590459	0.179033903	0.627722772	0.611413141	0.627194719	0.610405041	0.932613261	0.857137714	0.975361536	0.880744074	0.992883288	0.937245725	0.852373237	0.924332433	0.822346235	0.822970297	0.803492349	0.857929793	0.86439844	0.859093909	0.972589259	0.862214221	0.791347135	0.894065407
A24	0.998835884	0.888676868	0.968868887	0.941254125	0.971713171	0.975277528	0.971845185	0.933741374	0.795487549	0.825178518	0.82910291	0.798043804	0.954131413	0.87660366	0.531353135	0.524668467	0.52309631	0.475679568	0.585046505	0.21749775	0.240360036	0.231251125	0.227662766	0	0.183714371	0.212409241	0.157143714	0.219741974	0.708178818	0.658277828	0.709570957	0.630531053	0.918727873	0.836387639	0.985238524	0.887272727	0.98079808	0.933513351	0.867230723	0.910447045	0.844620462	0.810333033	0.820078008	0.964356436	0.898013801	0.87189919	0.93989799	0.892745275	0.829894989	0.95409541
A25	0.914587459	0.977869787	0.952643264	0.868346835	0.865910591	0.852637264	0.922532253	0.954083408	0.841812181	0.89650165	0.908790879	0.862766277	0.905334533	0.949882988	0.52780078	0.568412841	0.591935194	0.505346535	0.59720372	0.210705071	0.201044104	0.226450645	0.230939094	0.183714371	0	0.176633663	0.172613261	0.221086109	0.681368137	0.684584458	0.653645365	0.649192919	0.871467147	0.86559856	0.987494749	0.87270327	0.999051905	0.95259526	0.863378338	0.909474947	0.782130213	0.806084608	0.781782178	0.840624062	0.872523252	0.820042004	0.910579058	0.813525353	0.789474947	0.882652265
A26	0.912739274	0.999567957	0.940846085	0.893621362	0.930165017	0.904542454	0.911491149	0.850177018	0.745658566	0.759087909	0.785970597	0.752751275	0.847728773	0.825526553	0.471683168	0.525664566	0.501638164	0.480264026	0.494461446	0.223882388	0.210633063	0.239939994	0.204512451	0.212409241	0.176633663	0	0.15750375	0.222826283	0.625886589	0.653825383	0.649216922	0.659513951	0.873147315	0.872139214	0.997587759	0.904062406	0.999711971	0.906294629	0.900654065	0.909162916	0.701650165	0.769252925	0.709810981	0.762664266	0.781986199	0.747950795	0.857461746	0.746078608	0.680180018	0.788682868
A27	0.944326433	0.98310231	0.935493549	0.889792979	0.91259526	0.888952895	0.884140414	0.946894689	0.877575758	0.891545155	0.912727273	0.879771977	0.960672067	0.902694269	0.523636364	0.59469547	0.603936394	0.537161716	0.625946595	0.176705671	0.201212121	0.184362436	0.20590459	0.157143714	0.172613261	0.15750375	0	0.176609661	0.584458446	0.575709571	0.566420642	0.579621962	0.918091809	0.861782178	0.984134413	0.874167417	0.975181518	0.918667867	0.849984998	0.91369937	0.698961896	0.764632463	0.762592259	0.820594059	0.812121212	0.788838884	0.871011101	0.770417042	0.72960096	0.814473447
A28	0.972853285	0.901950195	0.987962796	0.980966097	0.97530153	0.99549955	0.966516652	0.894917492	0.811017102	0.857221722	0.872463246	0.855877588	0.896993699	0.900438044	0.577077708	0.592715272	0.619693969	0.561068107	0.650561056	0.160552055	0.18919892	0.20950495	0.179033903	0.219741974	0.221086109	0.222826283	0.176609661	0	0.596027603	0.637875788	0.639051905	0.585466547	0.890021002	0.925580558	0.99049505	0.877539754	0.957479748	0.935505551	0.838955896	0.906186619	0.743918392	0.850213021	0.780450045	0.877683768	0.829114911	0.849732973	0.931077108	0.831743174	0.781818182	0.86079808
A29	0.97680168	0.949462946	0.994947495	0.936825683	0.894221422	0.969816982	0.992319232	0.936669667	0.874623462	0.916747675	0.959663966	0.924956496	0.924608461	0.991659166	0.922340234	0.926660666	0.973177318	0.998415842	0.998739874	0.594275428	0.581482148	0.626330633	0.627722772	0.708178818	0.681368137	0.625886589	0.584458446	0.596027603	0	0.176285629	0.184278428	0.200756076	0.552487249	0.60570057	0.530369037	0.637863786	0.567356736	0.535109511	0.651029103	0.555739574	0.930765077	0.997407741	0.978829883	0.943714371	0.959819982	0.934869487	0.954779478	0.944014401	0.904890489	0.986654665
A30	0.953327333	0.919963996	0.941638164	0.936489649	0.888388839	0.977569757	0.976465647	0.96860486	0.902034203	0.944638464	0.937449745	0.937665767	0.900486049	0.965652565	0.912679268	0.988274827	0.914467447	0.945070507	0.957107711	0.571125113	0.547662766	0.622058206	0.611413141	0.658277828	0.684584458	0.653825383	0.575709571	0.637875788	0.176285629	0	0.17509751	0.254521452	0.57269727	0.678283828	0.509126913	0.643816382	0.508022802	0.539861986	0.65719772	0.532217222	0.944818482	0.966288629	0.971305131	0.961764176	0.96579658	0.917671767	0.930729073	0.994623462	0.914215422	0.99810381
A31	0.97080108	0.978961896	0.969288929	0.94949895	0.923624362	0.957347735	0.996687669	0.985886589	0.985994599	0.993735374	0.966060606	0.977221722	0.976717672	0.929084908	0.924968497	0.980966097	0.964332433	0.978337834	0.998175818	0.566540654	0.547026703	0.586450645	0.627194719	0.709570957	0.653645365	0.649216922	0.566420642	0.639051905	0.184278428	0.17509751	0	0.257665767	0.574629463	0.669042904	0.547434743	0.702634263	0.57890189	0.613081308	0.695721572	0.594359436	0.987266727	0.98559856	0.965556556	0.980390039	0.986078608	0.967980798	0.989894989	0.990567057	0.927056706	0.985562556
A32	0.967920792	0.956879688	0.972313231	0.943846385	0.8869967	0.988946895	0.990243024	0.983546355	0.899633963	0.958427843	0.932061206	0.959615962	0.977881788	0.993975398	0.892985299	0.988070807	0.998247825	0.991551155	0.98049805	0.588154815	0.559279928	0.611089109	0.610405041	0.630531053	0.649192919	0.659513951	0.579621962	0.585466547	0.200756076	0.254521452	0.257665767	0	0.640840084	0.714119412	0.601548155	0.741350135	0.627746775	0.607716772	0.752379238	0.624614461	0.953075308	0.941554155	0.999807981	0.98709871	0.957023702	0.896105611	0.947386739	0.977953795	0.899909991	0.999159916
A33	0.867266727	0.869150915	0.872451245	0.857113711	0.856105611	0.92570057	0.914179418	0.904314431	0.962028203	0.937929793	0.963276328	0.98529853	0.986078608	0.970045005	0.946714671	0.949654965	0.963264326	0.978769877	0.957839784	0.991863186	0.964272427	0.94439844	0.932613261	0.918727873	0.871467147	0.873147315	0.918091809	0.890021002	0.552487249	0.57269727	0.574629463	0.640840084	0	0.269774977	0.228142814	0.229966997	0.257065707	0.225970597	0.207932793	0.181230123	0.519051905	0.580378038	0.489564956	0.544818482	0.608088809	0.579033903	0.559255926	0.529324932	0.548154815	0.565868587
A34	0.926072607	0.891221122	0.918007801	0.919975998	0.885472547	0.931557156	0.953375338	0.874227423	0.913279328	0.891977198	0.910339034	0.89230123	0.929336934	0.924884488	0.954575458	0.942262226	0.980654065	0.990219022	0.958451845	0.951155116	0.915607561	0.915715572	0.857137714	0.836387639	0.86559856	0.872139214	0.861782178	0.925580558	0.60570057	0.678283828	0.669042904	0.714119412	0.269774977	0	0.308634863	0.228670867	0.312991299	0.207728773	0.229510951	0.216285629	0.60879688	0.56090009	0.587566757	0.561524152	0.640264026	0.561260126	0.656909691	0.64129613	0.578085809	0.630255026
A35	0.968928893	0.916675668	0.91369937	0.96390039	0.888856886	0.986774677	0.951023102	0.984914491	0.974257426	0.988358836	0.919375938	0.953351335	0.981062106	0.91889589	0.964536454	0.951011101	0.959327933	0.990711071	0.948190819	0.944818482	0.940930093	0.994191419	0.975361536	0.985238524	0.987494749	0.997587759	0.984134413	0.99049505	0.530369037	0.509126913	0.547434743	0.601548155	0.228142814	0.308634863	0	0.262694269	0.240240024	0.198883888	0.277587759	0.229078908	0.620846085	0.632523252	0.625022502	0.579873987	0.717179718	0.635631563	0.643816382	0.611929193	0.708826883	0.648280828
A36	0.95979598	0.921788179	0.95369937	0.989822982	0.915967597	0.987170717	0.971941194	0.927956796	0.965148515	0.949978998	0.997767777	0.99909991	0.981446145	0.933045305	0.961140114	0.990711071	0.96660066	0.966384638	0.938217822	0.9239964	0.916891689	0.909666967	0.880744074	0.887272727	0.87270327	0.904062406	0.874167417	0.877539754	0.637863786	0.643816382	0.702634263	0.741350135	0.229966997	0.228670867	0.262694269	0	0.186450645	0.228310831	0.213261326	0.170525053	0.64590459	0.590939094	0.599651965	0.628910891	0.703306331	0.624506451	0.679087909	0.616345635	0.642628263	0.623810381
A37	0.957215722	0.913915392	0.918319832	0.963240324	0.902874287	0.988670867	0.994539454	0.9419982	0.953843384	0.935433543	0.943738374	0.982334233	0.955091509	0.925124512	0.890549055	0.947818782	0.916291629	0.947554755	0.989090909	0.981014101	0.989978998	0.919411941	0.992883288	0.98079808	0.999051905	0.999711971	0.975181518	0.957479748	0.567356736	0.508022802	0.57890189	0.627746775	0.257065707	0.312991299	0.240240024	0.186450645	0	0.229714971	0.22019802	0.192439244	0.651329133	0.643984398	0.605316532	0.60560456	0.690549055	0.6360036	0.687548755	0.63690369	0.679747975	0.680084008
A38	0.92309631	0.868874887	0.91960396	0.915163516	0.873255326	0.963228323	0.911359136	0.859441944	0.903486349	0.873723372	0.961368137	0.91450345	0.908358836	0.967176718	0.912847285	0.994419442	0.924872487	0.95990399	0.97929793	0.942346235	0.996735674	0.955091509	0.937245725	0.933513351	0.95259526	0.906294629	0.918667867	0.935505551	0.535109511	0.539861986	0.613081308	0.607716772	0.225970597	0.207728773	0.198883888	0.228310831	0.229714971	0	0.173789379	0.164092409	0.551923192	0.584914491	0.565652565	0.549534953	0.634659466	0.583354335	0.627278728	0.583462346	0.60939694	0.57629763
A39	0.913663366	0.842916292	0.872967297	0.870423042	0.837011701	0.959543954	0.92609661	0.899237924	0.913507351	0.879579958	0.914611461	0.924128413	0.909618962	0.916747675	0.91750375	0.977917792	0.947446745	0.976705671	0.997923792	0.892781278	0.877971797	0.871023102	0.852373237	0.867230723	0.863378338	0.900654065	0.849984998	0.838955896	0.651029103	0.65719772	0.695721572	0.752379238	0.207932793	0.229510951	0.277587759	0.213261326	0.22019802	0.173789379	0	0.179645965	0.574581458	0.570657066	0.5759976	0.591851185	0.657545755	0.600852085	0.64020402	0.605124512	0.590807081	0.651077108
A40	0.926660666	0.918427843	0.944218422	0.948646865	0.921680168	0.988694869	0.995151515	0.924656466	0.983042304	0.968520852	0.971125113	0.977749775	0.966456646	0.990951095	0.930453045	0.961812181	0.978277828	0.945214521	0.920228023	0.971761176	0.948082808	0.906618662	0.924332433	0.910447045	0.909474947	0.909162916	0.91369937	0.906186619	0.555739574	0.532217222	0.594359436	0.624614461	0.181230123	0.216285629	0.229078908	0.170525053	0.192439244	0.164092409	0.179645965	0	0.585190519	0.624038404	0.596039604	0.603828383	0.679531953	0.621326133	0.657845785	0.596663666	0.635775578	0.624734473
A41	0.573369337	0.49389739	0.556519652	0.534485449	0.528892889	0.530693069	0.502586259	0.821146115	0.879423942	0.87660366	0.934173417	0.944746475	0.953483348	0.971485149	0.981218122	0.994011401	0.989582958	0.982670267	0.946738674	0.774653465	0.76360036	0.725256526	0.822346235	0.844620462	0.782130213	0.701650165	0.698961896	0.743918392	0.930765077	0.944818482	0.987266727	0.953075308	0.519051905	0.60879688	0.620846085	0.64590459	0.651329133	0.551923192	0.574581458	0.585190519	0	0.191455146	0.149990999	0.174569457	0.157611761	0.202724272	0.167644764	0.142190219	0.171161116	0.158247825
A42	0.594731473	0.483708371	0.580630063	0.559615962	0.570333033	0.571785179	0.534017402	0.836627663	0.918631863	0.950219022	0.998559856	0.973525353	0.992427243	0.956243624	0.986462646	0.998415842	0.968892889	0.985418542	0.946810681	0.792883288	0.820678068	0.775193519	0.822970297	0.810333033	0.806084608	0.769252925	0.764632463	0.850213021	0.997407741	0.966288629	0.98559856	0.941554155	0.580378038	0.56090009	0.632523252	0.590939094	0.643984398	0.584914491	0.570657066	0.624038404	0.191455146	0	0.144362436	0.207152715	0.178973897	0.157191719	0.170825083	0.194767477	0.156183618	0.16950495
A43	0.544974497	0.533921392	0.576453645	0.523972397	0.577065707	0.545550555	0.499141914	0.799771977	0.91549955	0.907278728	0.957635764	0.991011101	0.973789379	0.91840384	0.998655866	0.989822982	0.93860186	0.987158716	0.906918692	0.821170117	0.763936394	0.746138614	0.803492349	0.820078008	0.781782178	0.709810981	0.762592259	0.780450045	0.978829883	0.971305131	0.965556556	0.999807981	0.489564956	0.587566757	0.625022502	0.599651965	0.605316532	0.565652565	0.5759976	0.596039604	0.149990999	0.144362436	0	0.184182418	0.176237624	0.17389739	0.191227123	0.130945095	0.140354035	0.164128413
A44	0.59759976	0.492253225	0.542070207	0.567368737	0.575133513	0.577713771	0.55930393	0.885076508	0.934149415	0.93620162	0.990459046	0.974173417	0.986834683	0.980726073	0.971077108	0.95009901	0.936993699	0.898169817	0.96759676	0.879927993	0.890009001	0.843720372	0.857929793	0.964356436	0.840624062	0.762664266	0.820594059	0.877683768	0.943714371	0.961764176	0.980390039	0.98709871	0.544818482	0.561524152	0.579873987	0.628910891	0.60560456	0.549534953	0.591851185	0.603828383	0.174569457	0.207152715	0.184182418	0	0.181986199	0.188070807	0.222082208	0.141206121	0.207956796	0.203576358
A45	0.545622562	0.483168317	0.5419982	0.48450045	0.549558956	0.50019802	0.500990099	0.809444944	0.88819682	0.901770177	0.951587159	0.942394239	0.978049805	0.943678368	0.922820282	0.962472247	0.97809781	0.980906091	0.983270327	0.847392739	0.846228623	0.794311431	0.86439844	0.898013801	0.872523252	0.781986199	0.812121212	0.829114911	0.959819982	0.96579658	0.986078608	0.957023702	0.608088809	0.640264026	0.717179718	0.703306331	0.690549055	0.634659466	0.657545755	0.679531953	0.157611761	0.178973897	0.176237624	0.181986199	0	0.181914191	0.17089709	0.14910291	0.15330333	0.186666667
